6	0	0	0	0	3	1	1	3	5	4	0	0		4	1	3	1	3	3	3	4	3	7	3	0
6.5	4	1	0	1	0	0	2	3	0	1	3	3		3	2	0	1	0	0	1	7	2	1	2	1
7	0	0	0	0	1	2	1	0	1	2	2	3		0	0	1	0	6	4	4	2	3	0	0	0
7.5	0	1	2	1	0	0	3	2	3	2	2	2		3	2	3	1	7	0	7	3	4	6	1	1
8	5	3	1	0	6	6	4	0	5	6	3	3		7	9	7	3	12	2	9	4	7	5	2	6
8.5	4	5	3	1	2	11	6	6	4	12	4	2		12	12	8	8	15	9	17	17	6	9	10	6
9	10	14	7	9	17	16	20	21	13	17	10	12		17	13	13	11	21	22	25	30	26	25	13	10
9.5	18	16	23	15	16	16	19	26	25	17	35	24		19	25	27	24	26	33	25	47	31	44	37	26
10	8	13	13	15	7	20	22	18	22	15	11	14		17	26	26	19	16	31	25	24	23	31	15	20
10.5	7	13	8	8	15	10	16	8	16	16	17	14		13	16	22	14	28	19	18	15	19	21	16	10
11	5	5	4	7	5	5	4	6	3	5	5	10		5	16	13	10	10	11	15	8	9	7	6	7
11.5	3	3	2	3	6	9	6	6	3	8	3	7		4	3	6	3	3	5	6	4	5	12	13	5
12	1	0	0	3	1	4	1	2	4	3	6	3		3	0	0	4	4	4	3	12	4	9	2	1
13	0	0	1	0	1	3	1	0	0	3	0	1		1	1	2	0	3	2	1	0	0	4	3	2
14	1	2	1	2	1	0	3	3	0	1	2	2		2	6	3	3	5	3	2	1	0	1	2	1
15	0	0	0	0	1	0	0	1	1	0	1	1		0	0	0	1	1	0	4	0	0	0	0	2
16	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0

